"@timestamp","user.name",text,"user.location","user.screen_name",source,"user.profile_image_url"
"February 18th 2019, 19:13:37.000","Zubair khan","RT @IM_Bukhari1: یہ ہے بھارت کا اصل اور مکروہ چہرہ جس کے اوپر اس نے جمہوریت کا لبادہ اوڑھ رکھا ہے
پلوامہ حملے کے بعد مسلمانوں پر تشدد کر کے…","Lahore ",KhanZk31085,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","http://pbs.twimg.com/profile_images/1097477194459291648/3aHlZyyI_normal.jpg"
"February 18th 2019, 19:13:37.000","सरोज शर्मा🕉️🇮🇳","RT @officialTanha: काश्मीर पर मोदी जी अब तुमको नीति बदलनी होगी कुत्तों को मार गिराने को सिंह चाल ही चलनी होगी, मरने वाले हर सैनिक का अब हो…",,SarojShrnM,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","http://pbs.twimg.com/profile_images/837575552244539392/OaINi4mj_normal.jpg"
"February 18th 2019, 19:13:36.000","Gourav Goel","RT @bainjal: Modi shooting for a Discovery channel film the day of the #Pulwamaattack https://t.co/0cq49eSkqp",india,GouravGoelShinu,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","http://pbs.twimg.com/profile_images/934627681898962945/ASQ6jTN-_normal.jpg"
"February 18th 2019, 19:13:36.000","Sita Ram Agarwal","अब हमारे सीआरपीएफ के जवानों को हवाई यात्रा फ्री होनी चाहिए #PulwamaAttack https://t.co/TvSCaPuP5B","Rajasthan, India",SitaRam47296053,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","http://pbs.twimg.com/profile_images/1065266341278449664/Iy5cnHQT_normal.jpg"
"February 18th 2019, 19:13:33.000","Kanad Bandyopadhyay","RT @CestMoiz: 3
Hence the other option - the uniformed jihadis hiding behind their non uniformed brethren and bleeding by a 1000 cuts - fir…","Jambudwipe, Bharatkhande",BKanad,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","http://pbs.twimg.com/profile_images/779952705896710144/RJIntdEZ_normal.jpg"
"February 18th 2019, 19:13:33.000","Raj Verma","RT @navjivanindia: पुलवामा आतंकी हमले को लेकर समाजवादी पार्टी के अध्यक्ष #AkhileshYadav ने #PMModi  पर हमला बोला है। उन्होंने कहा कि आज देश…",India,"Raj_drrk","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","http://pbs.twimg.com/profile_images/994140534037008384/dFrs-ggn_normal.jpg"
"February 18th 2019, 19:13:33.000","Vaibhav Sharma","RT @jamewils: The perpetual actor!!! https://t.co/dzKOis6Tse","Goa, India",taoofdudeism,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","http://pbs.twimg.com/profile_images/972196992435851264/rTC6p-8p_normal.jpg"
"February 18th 2019, 19:13:33.000","Outlook Magazine","#PulwamaAttack: Centre Wants To Act Against #Pakistan Only When Elections Are Close, Claims Mamata Banerjee… https://t.co/CuecipVvdM","New Delhi, India",Outlookindia,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","http://pbs.twimg.com/profile_images/657904406155759617/IYxrXEPi_normal.jpg"
"February 18th 2019, 19:13:28.000",NRAS,"RT @Anjaan_8: @Mukesh196058 @nair_hena @_neo_prashant_ @TheMS156 @sankhwar_sudesh @Poddar40602906 @snowewhitea @RiteshSBisht1 @tipukumar15…",,NRAS07821497,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","http://pbs.twimg.com/profile_images/1093091968043835397/EUeV-YXp_normal.jpg"
"February 18th 2019, 19:13:24.000",VVM,"RT @ANI: Uttarakhand: Case registered against Shehla Rashid in Prem Nagar police station for allegedly spreading misinformation in a tweet…",India,"VVM_INDIA","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png"
